제목,채널명,업로드 날짜,영상 길이,video_id,구독자수,조회수 한글표현,조회수,반응도 (조회수/구독자),반응 해석,영상 링크,thumbnail_url
"[유튜브+쿠팡파트너스]로 월 400 버는 방법 | 구독자 0명부터 돈 벌면서 성장하기, EP00",꿈꾸는 콩이네,2023-09-03T02:29:57Z,11분 48초,WwtG3R3d4LQ,"8,100",11만,"110,049",13.59,강한 반응,https://www.youtube.com/watch?v=WwtG3R3d4LQ,https://img.youtube.com/vi/WwtG3R3d4LQ/hqdefault.jpg
"🔥초간단 가이드💫쿠팡파트너스 유튜브 수익화 영상, 이렇게 만드세요 (2025 최신 방법) 쿠파스",쿠파스마스터,2025-05-03T03:02:57Z,34분 35초,jE3rxpHYnts,"1,320",1만 5천 1백,"15,190",11.51,강한 반응,https://www.youtube.com/watch?v=jE3rxpHYnts,https://img.youtube.com/vi/jE3rxpHYnts/hqdefault.jpg
쿠팡파트너스 첫수익 대공개!!! 애드센스와 쿠파스 절대 같이 하지 마세요!!! - 밥맨TV : 워드프레스 성장기,돈버는 채널 : AI와 미국주식 - 밥맨TV,2023-09-28T04:00:17Z,5분 25초,gftSlZa__qU,"1,430",3천 1백,"3,130",2.19,양호,https://www.youtube.com/watch?v=gftSlZa__qU,https://img.youtube.com/vi/gftSlZa__qU/hqdefault.jpg
와 이렇게 쉽다고 왕초보도 가능한 유튜브 쿠팡파트너스 영상 만들기,굿쉐어,2024-08-16T12:17:27Z,14분 23초,t6od3bjV_1E,"12,400",2만 1천 2백,"21,248",1.71,평균 이하,https://www.youtube.com/watch?v=t6od3bjV_1E,https://img.youtube.com/vi/t6od3bjV_1E/hqdefault.jpg
쿠팡파트너스로 100만원 부수입 만들기 프로젝트! 💸같이 시작해볼까요? |쿠팡 파트너스 쿠파스 부업 추천 직장인부업,쿠파스마스터,2025-03-26T12:01:11Z,5분 53초,nrYXKh1OFRE,"1,320",2천,"2,027",1.54,평균 이하,https://www.youtube.com/watch?v=nrYXKh1OFRE,https://img.youtube.com/vi/nrYXKh1OFRE/hqdefault.jpg
쿠팡 파트너스 부업으로 월 천 버는 30대 워킹맘,원더휴먼,2025-02-20T09:39:29Z,39초,FREvBMtr8ZE,"34,600",4만 2천 3백,"42,390",1.23,평균 이하,https://www.youtube.com/watch?v=FREvBMtr8ZE,https://img.youtube.com/vi/FREvBMtr8ZE/hqdefault.jpg
🎇무려 100분짜리! 여러분의 멘탈관리와 쿠파스 정보까지 모두 드릴게요! ｜쿠팡파트너스 하는법｜쿠팡 파트너스｜유튜브｜쿠파스마스터,쿠파스마스터,2025-06-01T11:46:13Z,1시간 47분 20초,NUQ_gHZTsqs,"1,320",1천 4백,"1,454",1.1,평균 이하,https://www.youtube.com/watch?v=NUQ_gHZTsqs,https://img.youtube.com/vi/NUQ_gHZTsqs/hqdefault.jpg
쿠팡파트너스 유튜브 .블로그 돈버는법｜쿠파스 링크 30초만에 생성하기｜챗GPT로 돈벌기｜시간아끼세요,3년후 퇴사,2025-04-28T13:20:24Z,13분 27초,V4M8JAre08c,"10,700",1만 4백,"10,475",0.98,관심도 낮음,https://www.youtube.com/watch?v=V4M8JAre08c,https://img.youtube.com/vi/V4M8JAre08c/hqdefault.jpg
쿠팡파트너스 약관 개정 관련 주의사항 4가지! 쿠파스 수익 돈벌기 전에 하는법 알아가세요!,부업주부,2021-06-01T10:00:19Z,5분 49초,Pgh_qOB3epU,"15,500",1만 2천 6백,"12,645",0.82,관심도 낮음,https://www.youtube.com/watch?v=Pgh_qOB3epU,https://img.youtube.com/vi/Pgh_qOB3epU/hqdefault.jpg
쿠팡 파트너스 첫수익!! ㅋㅋㅋ (풀버전에서 유튜브 3년 수익 확인!) #부업 #쿠팡 #쿠파스 #쿠팡파트너스,큐레이터 단비's 크리에이터 스토리,2023-11-05T06:13:17Z,14초,Dmjs9x5XAg8,"22,600",1만 8천 3백,"18,334",0.81,관심도 낮음,https://www.youtube.com/watch?v=Dmjs9x5XAg8,https://img.youtube.com/vi/Dmjs9x5XAg8/hqdefault.jpg
쿠팡파트너스로 돈버는 7가지 전략,퇴사연구소,2025-04-28T07:30:31Z,2분 58초,lhakLxFftQA,"54,100",2만 8천 3백,"28,357",0.52,관심도 낮음,https://www.youtube.com/watch?v=lhakLxFftQA,https://img.youtube.com/vi/lhakLxFftQA/hqdefault.jpg
🫠썸네일만 바껴도 수익이 바뀝니다! 쿠팡파트너스 유튜브 썸네일 만드는 방법｜썸네일만드는법 썸네일기획 쿠팡 파트너스 알리 유튜브쇼핑 부업 어필리에이트 직장인부업 부업추천,쿠파스마스터,2025-06-27T08:09:35Z,13분 47초,aueesvoc-uI,"1,320",6백,610,0.46,관심도 낮음,https://www.youtube.com/watch?v=aueesvoc-uI,https://img.youtube.com/vi/aueesvoc-uI/hqdefault.jpg
"유튜브 쇼핑 제휴 태그 판매 못하면, AI로 자동 영상 생성해 쿠팡파트너스 링크로 수익화하세요. 구독자 0명 부업 집에서 온라인으로 돈 버는 방법은 쿠팡 알리 어필리에이트 마케팅",프로N잡러 오호랄라,2025-01-22T10:43:59Z,9분 33초,sxH_1fTH4mM,"45,100",2만 3백,"20,344",0.45,관심도 낮음,https://www.youtube.com/watch?v=sxH_1fTH4mM,https://img.youtube.com/vi/sxH_1fTH4mM/hqdefault.jpg
